MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:2446632,Ago2,argonaute RISC catalytic subunit 2,15,,production of miRNAs involved in gene silencing by miRNA,,,IMP,MGI:3056454 ,J:161968 
MGI:2446632,Ago2,argonaute RISC catalytic subunit 2,15,,production of miRNAs involved in gene silencing by miRNA,,,ISO,Q9UKV8 ,J:164563 
MGI:2446634,Ago3,argonaute RISC catalytic subunit 3,4,,pre-miRNA processing,,,ISO,Q9H9G7 ,J:164563 
MGI:2446634,Ago3,argonaute RISC catalytic subunit 3,4,,production of miRNAs involved in gene silencing by miRNA,,,ISO,Q9H9G7 ,J:164563 
MGI:1924100,Ago4,argonaute RISC catalytic subunit 4,4,,pre-miRNA processing,,,ISO,Q9HCK5 ,J:164563 
MGI:1924100,Ago4,argonaute RISC catalytic subunit 4,4,,production of miRNAs involved in gene silencing by miRNA,,,ISO,Q9HCK5 ,J:164563 
MGI:2385184,Ahcyl1,S-adenosylhomocysteine hydrolase-like 1,3,,mRNA polyadenylation,,,IDA,,J:149256 
MGI:2385184,Ahcyl1,S-adenosylhomocysteine hydrolase-like 1,3,,mRNA polyadenylation,,,ISO,O43865 ,J:164563 
MGI:2385184,Ahcyl1,S-adenosylhomocysteine hydrolase-like 1,3,,regulation of mRNA 3'-end processing,,,IDA,,J:149256 
MGI:2385184,Ahcyl1,S-adenosylhomocysteine hydrolase-like 1,3,,regulation of mRNA 3'-end processing,,,ISO,O43865 ,J:164563 
MGI:1316648,Ahnak,AHNAK nucleoprotein (desmoyokin),19,,regulation of RNA splicing,regulates UniProtKB:E9Q616,,IDA,,J:205645 
MGI:1342279,Aicda,activation-induced cytidine deaminase,6,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1860606,Akap8l,A kinase (PRKA) anchor protein 8-like,17,,mRNA processing,,,ISO,Q9ULX6 ,J:164563 
MGI:2443758,Akap17b,A kinase (PRKA) anchor protein 17B,X,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2443758,Akap17b,A kinase (PRKA) anchor protein 17B,X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1933427,Akr1c6,"aldo-keto reductase family 1, member C6",13,,"negative regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:104874,Akt2,thymoma viral proto-oncogene 2,7,,negative regulation of RNA splicing,,,ISO,RGD:2082 ,J:155856 
MGI:2384034,Alkbh1,"alkB homolog 1, histone H2A dioxygenase",12,,tRNA demethylation,,,ISO,Q13686 ,J:164563 
MGI:2384034,Alkbh1,"alkB homolog 1, histone H2A dioxygenase",12,,tRNA wobble cytosine modification,,,ISO,Q13686 ,J:164563 
MGI:2144489,Alkbh5,"alkB homolog 5, RNA demethylase",11,,mRNA processing,,,IBA,PTN001593557 ,J:161428 
MGI:2144489,Alkbh5,"alkB homolog 5, RNA demethylase",11,,mRNA processing,,,ISO,Q6P6C2 ,J:164563 
MGI:1914917,Alkbh8,"alkB homolog 8, tRNA methyltransferase",9,,tRNA methylation,,,IMP,,J:161726 
MGI:1914917,Alkbh8,"alkB homolog 8, tRNA methyltransferase",9,,tRNA methylation,,,ISO,Q96BT7 ,J:164563 
MGI:1914917,Alkbh8,"alkB homolog 8, tRNA methyltransferase",9,,tRNA wobble uridine modification,,,IDA,,J:215967 
MGI:1914917,Alkbh8,"alkB homolog 8, tRNA methyltransferase",9,,tRNA wobble uridine modification,,,ISO,Q96BT7 ,J:164563 
MGI:1341044,Alyref,Aly/REF export factor,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1341044,Alyref,Aly/REF export factor,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1913144,Alyref2,Aly/REF export factor 2,1,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1913144,Alyref2,Aly/REF export factor 2,1,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:88046,Aplp1,amyloid beta (A4) precursor-like protein 1,7,,mRNA polyadenylation,,,IDA,,J:103763 
MGI:103298,Apobec1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",6,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1343178,Apobec2,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2",17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1918531,Apobec4,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)",1,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:88059,App,amyloid beta (A4) precursor protein,16,,mRNA polyadenylation,,,IDA,,J:103763 
MGI:1276102,Aqr,aquarius,2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1276102,Aqr,aquarius,2,,"mRNA splicing, via spliceosome",,,IEA,IPR026300 ,J:72247 
MGI:1276102,Aqr,aquarius,2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1929500,Arl6ip4,ADP-ribosylation factor-like 6 interacting protein 4,5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1929500,Arl6ip4,ADP-ribosylation factor-like 6 interacting protein 4,5,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1913327,Aurkaip1,aurora kinase A interacting protein 1,4,,mRNA processing,,,IBA,PTN001593290 ,J:161428 
MGI:1915433,Bcas2,breast carcinoma amplified sequence 2,3,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1915433,Bcas2,breast carcinoma amplified sequence 2,3,,mRNA processing,,,IEA,IPR008409 ,J:72247 
MGI:1915433,Bcas2,breast carcinoma amplified sequence 2,3,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1922534,Bcdin3d,BCDIN3 domain containing,15,,negative regulation of pre-miRNA processing,,,ISO,Q7Z5W3 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of production of miRNAs involved in gene silencing by miRNA,,,ISO,P12644 ,J:164563 
MGI:2446132,Bms1,"BMS1, ribosome biogenesis factor",6,,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000304594 ,J:161428 
MGI:2446132,Bms1,"BMS1, ribosome biogenesis factor",6,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000304594 ,J:161428 
MGI:1334460,Bop1,block of proliferation 1,15,,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IMP,,J:148061 
MGI:1334460,Bop1,block of proliferation 1,15,,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,ISO,Q14137 ,J:164563 
MGI:1334460,Bop1,block of proliferation 1,15,,rRNA processing,,,IGI,MGI:1890613 ,J:91121 
MGI:1334460,Bop1,block of proliferation 1,15,,rRNA processing,,,IMP,,J:63238 
MGI:1891374,Brdt,"bromodomain, testis-specific",5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1891374,Brdt,"bromodomain, testis-specific",5,,regulation of RNA splicing,,,IMP,,J:190257 
MGI:1891374,Brdt,"bromodomain, testis-specific",5,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1913388,Bud23,"BUD23, rRNA methyltransferase and ribosome maturation factor",5,,positive regulation of rRNA processing,,,ISO,O43709 ,J:164563 
MGI:1913388,Bud23,"BUD23, rRNA methyltransferase and ribosome maturation factor",5,,rRNA (guanine-N7)-methylation,,,IBA,PTN000296553 ,J:161428 
MGI:1913388,Bud23,"BUD23, rRNA methyltransferase and ribosome maturation factor",5,,rRNA (guanine-N7)-methylation,,,ISO,O43709 ,J:164563 
MGI:1913388,Bud23,"BUD23, rRNA methyltransferase and ribosome maturation factor",5,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:2141291,Bud31,BUD31 homolog,5,,"mRNA splicing, via spliceosome",,,IBA,PTN000454176 ,J:161428 
MGI:1858419,Bysl,bystin-like,17,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IMP,,J:118938 
MGI:1927354,C1d,C1D nuclear receptor co-repressor,11,,maturation of 5.8S rRNA,,,IBA,PTN000393928 ,J:161428 
MGI:1927354,C1d,C1D nuclear receptor co-repressor,11,,maturation of 5.8S rRNA,,,ISO,Q13901 ,J:164563 
MGI:1927354,C1d,C1D nuclear receptor co-repressor,11,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1194505,C1qbp,"complement component 1, q subcomponent binding protein",11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1194505,C1qbp,"complement component 1, q subcomponent binding protein",11,,"negative regulation of mRNA splicing, via spliceosome",,,ISO,Q07021 ,J:164563 
MGI:1194505,C1qbp,"complement component 1, q subcomponent binding protein",11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1917562,Cactin,"cactin, spliceosome C complex subunit",10,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1917562,Cactin,"cactin, spliceosome C complex subunit",10,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2179723,Casc3,cancer susceptibility candidate 3,11,,mRNA processing,,,IEA,IPR028544 ,J:72247 
MGI:2179723,Casc3,cancer susceptibility candidate 3,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2179723,Casc3,cancer susceptibility candidate 3,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2444228,Ccar2,cell cycle activator and apoptosis regulator 2,14,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2444228,Ccar2,cell cycle activator and apoptosis regulator 2,14,,RNA splicing,,,ISO,Q8N163 ,J:164563 
MGI:88302,Ccnb1,cyclin B1,13,,positive regulation of mRNA 3'-end processing,,,ISO,RGD:2291 ,J:155856 
MGI:1922664,Ccnl1,cyclin L1,3,,RNA processing,,,IEA,IPR015431 ,J:72247 
MGI:1328363,Ccnt1,cyclin T1,15,,negative regulation of mRNA polyadenylation,,,ISO,O60563 ,J:164563 
MGI:1917483,Cd2bp2,CD2 antigen (cytoplasmic tail) binding protein 2,7,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1917483,Cd2bp2,CD2 antigen (cytoplasmic tail) binding protein 2,7,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1918952,Cdc5l,cell division cycle 5-like (S. pombe),17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1918952,Cdc5l,cell division cycle 5-like (S. pombe),17,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1918963,Cdc40,cell division cycle 40,10,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1918963,Cdc40,cell division cycle 40,10,,"mRNA splicing, via spliceosome",,,IEA,IPR032847 ,J:72247 
MGI:1918963,Cdc40,cell division cycle 40,10,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2384876,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component",1,,mRNA polyadenylation,,,ISO,Q6P1J9 ,J:164563 
MGI:2384876,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component",1,,positive regulation of mRNA 3'-end processing,,,ISO,Q6P1J9 ,J:164563 
MGI:2384876,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component",1,,recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex,,,IBA,PTN000279609 ,J:161428 
MGI:1914221,Cdk5rap1,CDK5 regulatory subunit associated protein 1,2,,mitochondrial tRNA modification,,,IMP,MGI:5750452 ,J:220703 
MGI:1914221,Cdk5rap1,CDK5 regulatory subunit associated protein 1,2,,tRNA modification,,,IEA,IPR005839 IPR006463 ,J:72247 
MGI:1328368,Cdk9,cyclin-dependent kinase 9 (CDC2-related kinase),2,,negative regulation of mRNA polyadenylation,,,ISO,P50750 ,J:164563 
MGI:88353,Cdk11b,cyclin-dependent kinase 11B,4,,regulation of mRNA processing,,,ISO,Q9UQ88 ,J:164563 
MGI:1098802,Cdk12,cyclin-dependent kinase 12,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1098802,Cdk12,cyclin-dependent kinase 12,11,,regulation of RNA splicing,,,ISO,RGD:621111 ,J:155856 
MGI:1098802,Cdk12,cyclin-dependent kinase 12,11,,RNA splicing,,,ISO,RGD:621111 ,J:155856 
MGI:1916812,Cdk13,cyclin-dependent kinase 13,13,,"alternative mRNA splicing, via spliceosome",,,IDA,,J:118326 
MGI:1916812,Cdk13,cyclin-dependent kinase 13,13,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1916812,Cdk13,cyclin-dependent kinase 13,13,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1921765,Cdkal1,CDK5 regulatory subunit associated protein 1-like 1,13,,tRNA methylthiolation,happens in type B pancreatic cell|happens in liver|happens in pancreas,,IMP,MGI:5301443 ,J:178248 
MGI:1921765,Cdkal1,CDK5 regulatory subunit associated protein 1-like 1,13,,tRNA modification,,,IEA,IPR005839 ,J:72247 
MGI:1921765,Cdkal1,CDK5 regulatory subunit associated protein 1-like 1,13,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:104738,Cdkn2a,cyclin-dependent kinase inhibitor 2A,4,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1342295,Celf1,"CUGBP, Elav-like family member 1",2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1342295,Celf1,"CUGBP, Elav-like family member 1",2,,mRNA splice site selection,,,IDA,,J:67386 
MGI:1342295,Celf1,"CUGBP, Elav-like family member 1",2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1338822,Celf2,"CUGBP, Elav-like family member 2",2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1338822,Celf2,"CUGBP, Elav-like family member 2",2,,mRNA splice site selection,,,IDA,,J:67386 
MGI:1338822,Celf2,"CUGBP, Elav-like family member 2",2,,mRNA splice site selection,,,ISO,O95319 ,J:164563 
MGI:1926034,Celf3,"CUGBP, Elav-like family member 3",3,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1926034,Celf3,"CUGBP, Elav-like family member 3",3,,"positive regulation of mRNA splicing, via spliceosome",,,ISO,Q5SZQ8 ,J:164563 
MGI:1926034,Celf3,"CUGBP, Elav-like family member 3",3,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,Q5SZQ8 ,J:164563 
MGI:1926034,Celf3,"CUGBP, Elav-like family member 3",3,,RNA splicing,,,ISO,Q5SZQ8 ,J:164563 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,mRNA splice site selection,,,IDA,,J:67386 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,"negative regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,"positive regulation of mRNA splicing, via spliceosome",,,ISO,Q9BZC1 ,J:164563 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,Q9BZC1 ,J:73065 
MGI:1932407,Celf4,"CUGBP, Elav-like family member 4",18,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2442333,Celf5,"CUGBP, Elav-like family member 5",10,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,Q8N6W0 ,J:164563 
MGI:1923433,Celf6,"CUGBP, Elav-like family member 6",9,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2444748,Chd7,chromodomain helicase DNA binding protein 7,4,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:106417,Cherp,calcium homeostasis endoplasmic reticulum protein,8,,RNA processing,,,IEA,IPR000061 IPR035967 ,J:72247 
MGI:1914185,Cir1,"corepressor interacting with RBPJ, 1",2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1914185,Cir1,"corepressor interacting with RBPJ, 1",2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1855695,Clasrp,CLK4-associating serine/arginine rich protein,7,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1855695,Clasrp,CLK4-associating serine/arginine rich protein,7,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:107403,Clk1,CDC-like kinase 1,1,,regulation of RNA splicing,,,ISO,P49759 ,J:164563 
MGI:1098669,Clk2,CDC-like kinase 2,3,,regulation of RNA splicing,,,ISO,P49760 ,J:164563 
MGI:1098670,Clk3,CDC-like kinase 3,9,,regulation of RNA splicing,,,ISO,P49761 ,J:164563 
MGI:1098551,Clk4,CDC like kinase 4,11,,regulation of RNA splicing,,,ISO,Q9HAZ1 ,J:164563 
MGI:109638,Clns1a,"chloride channel, nucleotide-sensitive, 1A",7,,spliceosomal snRNP assembly,,,ISO,P54105 ,J:164563 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,mRNA 3'-end processing,,,IEA,IPR010655 IPR028606 ,J:72247 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,mRNA polyadenylation,,,IBA,PTN000298076 ,J:161428 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,"tRNA splicing, via endonucleolytic cleavage and ligation",,,IBA,PTN000298076 ,J:161428 
MGI:2138968,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2,,"tRNA splicing, via endonucleolytic cleavage and ligation",,,ISO,Q92989 ,J:164563 
MGI:1921407,Cmtr1,cap methyltransferase 1,17,,7-methylguanosine mRNA capping,,,ISO,Q8N1G2 ,J:164563 
MGI:1921407,Cmtr1,cap methyltransferase 1,17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2384580,Cmtr2,cap methyltransferase 2,8,,7-methylguanosine mRNA capping,,,ISO,Q8IYT2 ,J:164563 
MGI:2384580,Cmtr2,cap methyltransferase 2,8,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2443154,Cnot6l,"CCR4-NOT transcription complex, subunit 6-like",5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:108442,Cpeb1,cytoplasmic polyadenylation element binding protein 1,7,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2443075,Cpeb3,cytoplasmic polyadenylation element binding protein 3,19,,positive regulation of mRNA polyadenylation,,,IDA,,J:178916 
MGI:2679722,Cpsf1,cleavage and polyadenylation specific factor 1,15,,mRNA polyadenylation,,,IBA,PTN000068525 ,J:161428 
MGI:2679722,Cpsf1,cleavage and polyadenylation specific factor 1,15,,mRNA polyadenylation,,,ISO,Q10570 ,J:164563 
MGI:2679722,Cpsf1,cleavage and polyadenylation specific factor 1,15,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1861601,Cpsf2,cleavage and polyadenylation specific factor 2,12,,mRNA 3'-end processing by stem-loop binding and cleavage,,,ISO,Q9P2I0 ,J:164563 
MGI:1861601,Cpsf2,cleavage and polyadenylation specific factor 2,12,,mRNA polyadenylation,,,IEA,IPR027075 ,J:72247 
MGI:1861601,Cpsf2,cleavage and polyadenylation specific factor 2,12,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1859328,Cpsf3,cleavage and polyadenylation specificity factor 3,12,,mRNA 3'-end processing by stem-loop binding and cleavage,,,IDA,,J:156043 
MGI:1859328,Cpsf3,cleavage and polyadenylation specificity factor 3,12,,mRNA 3'-end processing by stem-loop binding and cleavage,,,ISO,Q9UKF6 ,J:164563 
MGI:1859328,Cpsf3,cleavage and polyadenylation specificity factor 3,12,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1861602,Cpsf4,cleavage and polyadenylation specific factor 4,5,,mRNA polyadenylation,,,IBA,PTN000559726 ,J:161428 
MGI:1861602,Cpsf4,cleavage and polyadenylation specific factor 4,5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1861602,Cpsf4,cleavage and polyadenylation specific factor 4,5,,pre-mRNA cleavage required for polyadenylation,,,IBA,PTN000559780 ,J:161428 
MGI:1277182,Cpsf4l,cleavage and polyadenylation specific factor 4-like,11,,mRNA polyadenylation,,,IBA,PTN000559726 ,J:161428 
MGI:1277182,Cpsf4l,cleavage and polyadenylation specific factor 4-like,11,,pre-mRNA cleavage required for polyadenylation,,,IBA,PTN000559780 ,J:161428 
MGI:1913948,Cpsf6,cleavage and polyadenylation specific factor 6,10,,mRNA polyadenylation,,,ISO,Q16630 ,J:164563 
